Property Address,Tree Location,Property Side,Species,Diameter in Inches,Tree Number
"270 BUTLER AVE
Providence, RI
(41.832299622327334, -71.38417234075091)",ANGELL ST,Side,Acer saccharum,20,2
"270 BUTLER AVE
Providence, RI
(41.832299622327334, -71.38417234075091)",ANGELL ST,Side,Acer platanoides,22,1
"565 ANGELL ST
Providence, RI
(41.83068225261389, -71.38498204425049)",ANGELL ST,Front,Empty Site,0,4
"565 ANGELL ST
Providence, RI
(41.83068225261389, -71.38498204425049)",ANGELL ST,Front,Prunus serrulata 'Kwanzan',4,3
"565 ANGELL ST
Providence, RI
(41.83068225261389, -71.38498204425049)",ANGELL ST,Front,Acer platanoides,7,2
"565 ANGELL ST
Providence, RI
(41.83068225261389, -71.38498204425049)",ANGELL ST,Front,Acer platanoides,15,1
"545 ANGELL ST
Providence, RI
(41.83055162527401, -71.38565021392819)",ANGELL ST,Front,Acer platanoides,7,3
"545 ANGELL ST
Providence, RI
(41.83055162527401, -71.38565021392819)",ANGELL ST,Front,Pyrus calleryana,8,2
"545 ANGELL ST
Providence, RI
(41.83055162527401, -71.38565021392819)",ANGELL ST,Front,Empty Site,0,1
"126 ELTON ST
Providence, RI
(41.83311746756475, -71.38618286090802)",ELTON ST,Front,Prunus yedoensis,3,2
"118 BURLINGTON ST
Providence, RI
(41.84767043773209, -71.39412055626083)",BURLINGTON ST,Front,Tilia americana,3,1
"690 ELMGROVE AVE
Providence, RI
(41.85010459199577, -71.39077752185392)",ELMGROVE AVE,Front,Liquidambar syraciflua,3,1
"696 ELMGROVE AVE
Providence, RI
(41.85026179281306, -71.3906455571667)",ELMGROVE AVE,Front,Quercus palustris,3,1
"696 ELMGROVE AVE
Providence, RI
(41.85026179281306, -71.3906455571667)",ELMGROVE AVE,Front,Quercus palustris,3,2
"40 BRENTWOOD AVE
Providence, RI
(41.84346840627473, -71.44877513269202)",BRENTWOOD AVE,Front,Prunus spp.,3,1
"90 HUXLEY AVE
Providence, RI
(41.84050532962269, -71.43389022671018)",HUXLEY AVE,Front,Prunus spp.,3,1
"673 SMITH ST
Providence, RI
(41.837660817265, -71.4335161522715)",SMITH ST,Front,Zelkova serrata,3,1
"673 SMITH ST
Providence, RI
(41.837660817265, -71.4335161522715)",SMITH ST,Front,Zelkova serrata,3,2
"673 SMITH ST
Providence, RI
(41.837660817265, -71.4335161522715)",SMITH ST,Front,Zelkova serrata,3,3
"673 SMITH ST
Providence, RI
(41.837660817265, -71.4335161522715)",SMITH ST,Front,Zelkova serrata,3,4
"1011 SMITH ST
Providence, RI
(41.84265625785675, -71.44514330418944)",SMITH ST,Front,Prunus cerasifera,3,1
"1173 SMITH ST
Providence, RI
(41.84521619623132, -71.45028214475987)",SMITH ST,Front,Platanus x acerifolia,3,1
"70 TYNDALL AVE
Providence, RI
(41.83981254835228, -71.43307452645988)",TYNDALL AVE,Front,Malus spp,3,1
"52 WABUN AVE
Providence, RI
(41.8404399714006, -71.44272378747084)",WABUN AVE,Front,Prunus yedoensis,3,1
"52 WABUN AVE
Providence, RI
(41.8404399714006, -71.44272378747084)",WABUN AVE,Front,Prunus yedoensis,3,2
"40 WYNDHAM AVE
Providence, RI
(41.836685902467224, -71.43863380659849)",WYNDHAM AVE,Front,Gymnocladus dioicus,4,1
"20 ACADEMY AVE
Providence, RI
(41.82525376851344, -71.44347612737218)",ACADEMY AVE,Front,Gleditsia triacanthos,3,1
"101 ACADEMY AVE
Providence, RI
(41.827428307065524, -71.44366216228153)",ACADEMY AVE,Front,Gleditsia triacanthos,3,1
"137 ACADEMY AVE
Providence, RI
(41.82851502683696, -71.44383780180091)",ACADEMY AVE,Front,Empty Pit,-1,1
"240 ACADEMY AVE
Providence, RI
(41.83143050352645, -71.44444917323766)",ACADEMY AVE,Front,Tilia americana,3,1
"57 BEAUFORT ST
Providence, RI
(41.83073316049345, -71.44670729296145)",BEAUFORT ST,Front,Prunus spp.,3,1
"1276 CHALKSTONE AVE
Providence, RI
(41.83251628939227, -71.45112377254543)",CHALKSTONE AVE,Front,Malus spp,3,2
"125 ADELAIDE AVE
Providence, RI
(41.79748712584307, -71.42000771630197)",ADELAIDE AVE,Front,Ginkgo biloba,3,1
"125 ADELAIDE AVE
Providence, RI
(41.79748712584307, -71.42000771630197)",ADELAIDE AVE,Front,Ginkgo biloba,3,1
"126 ADELAIDE AVE
Providence, RI
(41.79738516264514, -71.41995354296797)",ADELAIDE AVE,Front,Ulmus spp.,3,1
"126 ADELAIDE AVE
Providence, RI
(41.79738516264514, -71.41995354296797)",ADELAIDE AVE,Front,Ulmus spp.,3,2
"122 ADELAIDE AVE
Providence, RI
(41.79742844521577, -71.41981557977411)",ATLANTIC AVE,Side,Acer ginnala,3,1
"123 ADELAIDE AVE
Providence, RI
(41.797509668876124, -71.41993586038411)",ATLANTIC AVE,Side,Acer ginnala,3,1
"123 ADELAIDE AVE
Providence, RI
(41.797509668876124, -71.41993586038411)",ATLANTIC AVE,Side,Acer ginnala,3,2
"925 BROAD ST
Providence, RI
(41.79901579275979, -71.41578081516697)",BROAD ST,Front,Ulmus spp.,3,1
"42 CONGRESS AVE
Providence, RI
(41.80044099787652, -71.41970322504716)",CONGRESS AVE,Front,Platanus x acerifolia,3,1
"42 CONGRESS AVE
Providence, RI
(41.80044099787652, -71.41970322504716)",CONGRESS AVE,Front,Platanus x acerifolia,3,2
"42 CONGRESS AVE
Providence, RI
(41.80044099787652, -71.41970322504716)",CONGRESS AVE,Front,Platanus x acerifolia,3,3
"145 CONGRESS AVE
Providence, RI
(41.79945600957841, -71.42331165336321)",CONGRESS AVE,Front,Malus spp,3,1
"145 CONGRESS AVE
Providence, RI
(41.79945600957841, -71.42331165336321)",CONGRESS AVE,Front,Malus spp,3,2
"149 CONGRESS AVE
Providence, RI
(41.79939015553374, -71.42352053898462)",CONGRESS AVE,Front,Liquidambar syraciflua,3,1
"150 CONGRESS AVE
Providence, RI
(41.799277866662145, -71.42349944016182)",CONGRESS AVE,Front,Liquidambar syraciflua,3,1
"49 GALLATIN ST
Providence, RI
(41.796718934953, -71.41532878695537)",GALLATIN ST,Front,Ulmus spp.,3,1
"49 GALLATIN ST
Providence, RI
(41.796718934953, -71.41532878695537)",GALLATIN ST,Front,Ulmus spp.,3,2
"49 GALLATIN ST
Providence, RI
(41.796718934953, -71.41532878695537)",GALLATIN ST,Front,Ulmus spp.,3,3
"50 GALLATIN ST
Providence, RI
(41.79658255960144, -71.41538610537766)",GALLATIN ST,Front,Tilia cordata,3,1
"50 GALLATIN ST
Providence, RI
(41.79658255960144, -71.41538610537766)",GALLATIN ST,Front,Tilia cordata,3,2
"95 GALLATIN ST
Providence, RI
(41.796174718773216, -71.41712336732567)",GALLATIN ST,Front,Acer ginnala,3,1
"116 GALLATIN ST
Providence, RI
(41.79582429320716, -71.41788627549546)",GALLATIN ST,Front,Ginkgo biloba,3,1
"118 GALLATIN ST
Providence, RI
(41.795802990066925, -71.41795627152766)",GALLATIN ST,Front,Ginkgo biloba,3,1
"150 GALLATIN ST
Providence, RI
(41.795448687424546, -71.41911604997642)",GALLATIN ST,Front,Gleditsia triacanthos,3,1
"150 GALLATIN ST
Providence, RI
(41.795448687424546, -71.41911604997642)",GALLATIN ST,Front,Gleditsia triacanthos,3,2
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Ulmus parvifolia,3,1
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Ulmus parvifolia,3,3
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Ulmus parvifolia,3,4
"250 GALLATIN ST
Providence, RI
(41.7943094118652, -71.42269812108964)",GALLATIN ST,Front,Cornus mas,3,1
"192 GALLATIN ST
Providence, RI
(41.79494569661357, -71.42064721318049)",GALLATIN ST,Front,Cornus mas,3,2
"265 GALLATIN ST
Providence, RI
(41.79426500696438, -71.42323249846334)",GALLATIN ST,Front,Prunus cerasifera,3,1
"85 HAMILTON ST
Providence, RI
(41.80065536628834, -71.42203364977118)",HAMILTON ST,Front,Acer campestre,3,1
"85 HAMILTON ST
Providence, RI
(41.80065536628834, -71.42203364977118)",HAMILTON ST,Front,Acer campestre,3,2
"174 HAMILTON ST
Providence, RI
(41.79790178640468, -71.42032985021253)",HAMILTON ST,Front,Gleditsia triacanthos,3,1
"218 HAMILTON ST
Providence, RI
(41.7963545956667, -71.41948992195692)",HAMILTON ST,Front,Tilia americana,3,1
"230 HAMILTON ST
Providence, RI
(41.79616772600604, -71.41939114799344)",HAMILTON ST,Front,Tilia americana,3,1
"230 HAMILTON ST
Providence, RI
(41.79616772600604, -71.41939114799344)",HAMILTON ST,Front,Ulmus parvifolia,3,2
"254 HAMILTON ST
Providence, RI
(41.79544469912971, -71.41896792469875)",HAMILTON ST,Front,Gymnocladus dioicus,3,1
"260 HAMILTON ST
Providence, RI
(41.795219621308824, -71.41883795018248)",HAMILTON ST,Front,Acer saccharum,3,1
"264 HAMILTON ST
Providence, RI
(41.795069569428236, -71.41875130050497)",HAMILTON ST,Front,Acer saccharum,3,1
"264 HAMILTON ST
Providence, RI
(41.795069569428236, -71.41875130050497)",HAMILTON ST,Front,Acer saccharum,3,2
"268 HAMILTON ST
Providence, RI
(41.79491951754764, -71.41866465082745)",HAMILTON ST,Front,Aesculus hippocastanum,3,1
"268 HAMILTON ST
Providence, RI
(41.79491951754764, -71.41866465082745)",HAMILTON ST,Front,Aesculus hippocastanum,3,2
"269 HAMILTON ST
Providence, RI
(41.794876160451835, -71.41879973431378)",HAMILTON ST,Front,Syringa reticulata,3,1
"269 HAMILTON ST
Providence, RI
(41.794876160451835, -71.41879973431378)",HAMILTON ST,Front,Syringa reticulata,3,2
"269 HAMILTON ST
Providence, RI
(41.794876160451835, -71.41879973431378)",HAMILTON ST,Front,Syringa reticulata,3,3
"276 HAMILTON ST
Providence, RI
(41.794850800657215, -71.41862739286607)",HAMILTON ST,Front,Ulmus spp.,3,1
"282 HAMILTON ST
Providence, RI
(41.794822269665836, -71.41861233484283)",HAMILTON ST,Front,Ulmus spp.,3,1
"288 HAMILTON ST
Providence, RI
(41.79479373867446, -71.41859727681961)",HAMILTON ST,Front,Acer saccharum,3,1
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,1
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,3
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,2
"99 LAURA ST
Providence, RI
(41.801237488660504, -71.42241584626571)",LAURA ST,Front,Acer ginnala,3,4
"30 LENOX AVE
Providence, RI
(41.79787158515356, -71.4159826210468)",LENOX AVE,Front,Malus spp,3,1
"30 LENOX AVE
Providence, RI
(41.79787158515356, -71.4159826210468)",LENOX AVE,Front,Malus spp,3,2
"32 LENOX AVE
Providence, RI
(41.79784150869269, -71.4160797305331)",LENOX AVE,Front,Prunus spp.,3,1
"41 LENOX AVE
Providence, RI
(41.79783234042424, -71.41650602000324)",LENOX AVE,Front,Platanus x acerifolia,3,1
"97 LENOX AVE
Providence, RI
(41.797192538661534, -71.41860649955423)",LENOX AVE,Front,Platanus x acerifolia,3,1
"124 LENOX AVE
Providence, RI
(41.79679407744903, -71.41948282437745)",LENOX AVE,Front,Prunus spp.,3,1
